"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
128033053,"Armstrong",28,"FREEPORT AREA SD       ",11,67.7,74.3,30.9,36.8,20.6,11.8,25.0,49.3,19.1,6.6
128034503,"Armstrong",28,"LEECHBURG AREA SD      ",5,75.1,76.6,43.8,31.3,15.6,9.4,37.5,39.1,9.4,14.1
128034503,"Armstrong",28,"LEECHBURG AREA SD      ",8,44.1,76.4,8.8,35.3,36.8,19.1,27.9,48.5,16.2,7.4
128034503,"Armstrong",28,"LEECHBURG AREA SD      ",11,62.2,62.3,35.8,26.4,18.9,18.9,18.9,43.4,24.5,13.2
128034607,"Armstrong",28,"LENAPE AVTS            ",11,14.3,25.0,3.7,10.6,30.1,55.6,2.8,22.2,25.9,49.1
127000000,"Beaver",27,"BEAVER VALLEY IU 27    ",11,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,100.0
127040503,"Beaver",27,"ALIQUIPPA SD           ",5,19.2,28.3,6.1,13.1,14.1,66.7,6.1,22.2,12.1,59.6
127040503,"Beaver",27,"ALIQUIPPA SD           ",8,22.4,30.2,6.0,16.4,15.5,62.1,5.2,25.0,24.1,45.7
127040503,"Beaver",27,"ALIQUIPPA SD           ",11,21.6,39.4,3.4,18.2,25.0,53.4,3.4,36.0,39.3,21.3
127040703,"Beaver",27,"AMBRIDGE AREA SD       ",5,56.7,74.6,21.5,35.2,26.6,16.7,47.6,27.0,15.0,10.3
127040703,"Beaver",27,"AMBRIDGE AREA SD       ",8,55.6,68.0,21.2,34.4,22.8,21.6,27.6,40.4,16.8,15.2
127040703,"Beaver",27,"AMBRIDGE AREA SD       ",11,54.8,68.9,19.3,35.5,19.3,25.9,16.7,52.2,18.0,13.2
127041203,"Beaver",27,"BEAVER AREA SD         ",5,83.1,77.0,58.1,25.0,11.5,5.4,36.5,40.5,15.5,7.4
127041203,"Beaver",27,"BEAVER AREA SD         ",8,60.2,82.7,19.7,40.5,31.8,8.1,37.0,45.7,13.3,4.0
127041203,"Beaver",27,"BEAVER AREA SD         ",11,73.2,77.4,35.4,37.8,15.2,11.6,25.0,52.4,15.2,7.3
127041503,"Beaver",27,"BIG BEAVER FALLS AREA S",5,65.4,58.6,37.6,27.8,17.3,17.3,30.8,27.8,21.8,19.5
127041503,"Beaver",27,"BIG BEAVER FALLS AREA S",8,40.3,58.3,14.4,25.9,25.9,33.8,17.3,41.0,19.4,22.3
