"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",5,83.4,87.3,599,49.7,33.7,12.4,4.2,599,44.2,43.1,7.5,5.2
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",8,89.9,89.5,672,67.1,22.8,7.3,2.8,673,62.6,26.9,7.3,3.3
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",11,83.1,90.5,648,57.3,25.8,10.3,6.6,648,63.3,27.2,5.4,4.2
103026902,"ALLEGHENY",3,"NORTH HILLS SD",3,96.0,86.0,279,66.0,30.0,3.0,1.0,278,45.0,41.0,8.0,5.0
103026902,"ALLEGHENY",3,"NORTH HILLS SD",5,87.8,83.8,328,61.9,25.9,9.5,2.7,327,37.6,46.2,11.0,5.2
103026902,"ALLEGHENY",3,"NORTH HILLS SD",8,78.5,68.4,391,54.5,24.0,13.6,7.9,390,35.1,33.3,17.9,13.6
103026902,"ALLEGHENY",3,"NORTH HILLS SD",11,72.8,77.6,430,40.7,32.1,16.3,10.9,429,43.1,34.5,11.7,10.7
103026873,"ALLEGHENY",3,"NORTHGATE SD",3,95.0,84.0,87,64.0,31.0,2.0,2.0,87,59.0,25.0,11.0,5.0
103026873,"ALLEGHENY",3,"NORTHGATE SD",5,87.2,79.8,94,64.9,22.3,7.4,5.3,94,38.3,41.5,11.7,8.5
103026873,"ALLEGHENY",3,"NORTHGATE SD",8,62.1,65.2,132,30.3,31.8,21.2,16.7,132,37.9,27.3,17.4,17.4
103026873,"ALLEGHENY",3,"NORTHGATE SD",11,55.8,71.6,120,28.3,27.5,20.0,24.2,120,40.8,30.8,16.7,11.7
103027352,"ALLEGHENY",3,"PENN HILLS SD",3,68.0,59.0,393,33.0,35.0,20.0,11.0,394,19.0,40.0,23.0,19.0
103027352,"ALLEGHENY",3,"PENN HILLS SD",5,68.4,60.1,426,36.9,31.5,21.4,10.3,424,16.7,43.4,19.6,20.3
