"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",7,137,73.0,43.8,29.2,13.1,13.9,137,73.8,38.0,35.8,12.4,13.9
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",8,171,60.2,31.0,29.2,21.1,18.7,170,68.8,33.5,35.3,17.6,13.5
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",11,136,47.7,17.6,30.1,20.6,31.6,136,61.0,16.9,44.1,14.7,24.3
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",3,172,92.0,65.0,27.0,8.0,1.0,172,76.0,34.0,42.0,17.0,8.0
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",4,202,90.1,66.3,23.8,6.4,3.5,201,82.1,38.3,43.8,12.9,5.0
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",5,200,70.5,51.0,19.5,17.5,12.0,200,69.0,30.5,38.5,14.5,16.5
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",6,236,60.6,21.2,39.4,27.1,12.3,236,66.1,28.4,37.7,21.6,12.3
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",7,235,67.2,23.8,43.4,18.7,14.0,235,74.9,28.9,46.0,15.7,9.4
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",8,270,61.5,28.5,33.0,25.6,13.0,270,78.6,46.7,31.9,14.1,7.4
103023153,"ALLEGHENY",3,"ELIZABETH FORWARD SD",11,251,54.6,36.3,18.3,21.9,23.5,250,76.4,32.4,44.0,13.2,10.4
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",3,309,94.0,77.0,17.0,4.0,1.0,309,83.0,57.0,26.0,10.0,6.0
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",4,289,93.4,70.9,22.5,3.5,3.1,287,86.1,54.7,31.4,9.1,4.9
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",5,335,83.6,57.0,26.6,10.7,5.7,335,83.6,41.2,42.4,9.0,7.5
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",6,351,79.2,50.4,28.8,13.7,7.1,351,85.8,54.7,31.1,9.1,5.1
103023912,"ALLEGHENY",3,"FOX CHAPEL AREA SD",7,330,80.0,53.0,27.0,12.1,7.9,330,90.0,64.5,25.5,5.5,4.5
